Rank	Article	href													Views	 %-Mobi	 %-Zero
3573	Software	/wiki/Software					Symbol c class.svg						Padlock-silver.svg		30,124	46.97%	2.85%
3574	Katharina Andresen	/wiki/Katharina_Andresen							Symbol stub class.svg						30,121	55.68%	0.20%
3575	Alan Shearer	/wiki/Alan_Shearer		Symbol support vote.svg									Padlock-silver.svg		30,120	74.43%	0.50%
3576	Zinedine Zidane	/wiki/Zinedine_Zidane				Symbol b class.svg							Padlock-silver-light.svg		30,119	61.23%	2.81%
3577	Potato	/wiki/Potato				Symbol b class.svg							Padlock-silver.svg		30,111	50.83%	0.79%
3578	Maya civilization	/wiki/Maya_civilization	Featured article star.svg										Padlock-silver.svg	Padlock-olive.svg	30,110	47.89%	0.48%
3579	Tom Ellis (actor)	/wiki/Tom_Ellis_(actor)						Symbol start class.svg							30,101	67.04%	0.55%
3580	Bangalore	/wiki/Bangalore				Symbol b class.svg		Symbol start class.svg			Featured article star - cross.svg			Padlock-olive.svg	30,097	55.18%	0.51%
3581	Brenda Song	/wiki/Brenda_Song		Symbol support vote.svg										Padlock-olive.svg	30,095	71.84%	0.32%
3581	List of Miss Universe titleholders	/wiki/List_of_Miss_Universe_titleholders													30,095	79.74%	0.76%
3583	Diana Hayden	/wiki/Diana_Hayden						Symbol start class.svg							30,093	80.88%	0.70%
3583	Michael Caine	/wiki/Michael_Caine					Symbol c class.svg								30,093	62.21%	0.54%
3583	Reita Faria	/wiki/Reita_Faria							Symbol stub class.svg	Symbol question.svg					30,093	83.05%	0.68%
3586	Vancouver	/wiki/Vancouver				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg				30,083	47.61%	0.51%
3587	New Jersey	/wiki/New_Jersey					Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	30,078	47.90%	0.56%
3587	Tanya Ravichandran	/wiki/Tanya_Ravichandran								Symbol question.svg					30,078	73.96%	1.60%
3589	Claude Monet	/wiki/Claude_Monet					Symbol c class.svg						Padlock-silver.svg		30,077	38.25%	0.28%
3590	Ejaculation	/wiki/Ejaculation						Symbol start class.svg					Padlock-silver.svg	Padlock-olive.svg	30,070	65.32%	1.86%
3591	Dylan O'Brien	/wiki/Dylan_O%27Brien						Symbol start class.svg					Padlock-silver.svg		30,067	69.84%	1.06%
3592	Great Britain	/wiki/Great_Britain				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg	Padlock-olive.svg	30,061	47.08%	1.03%
3592	Jenna Bush Hager	/wiki/Jenna_Bush_Hager					Symbol c class.svg							Padlock-olive.svg	30,061	70.93%	0.23%
3594	List of hobbies	/wiki/List_of_hobbies													30,057	49.81%	1.28%
3595	The Wire	/wiki/The_Wire	Featured article star.svg												30,053	53.11%	0.31%
3596	Pixar	/wiki/Pixar		Symbol support vote.svg											30,052	47.42%	0.39%
3597	Empire (2015 TV series)	/wiki/Empire_(2015_TV_series)				Symbol b class.svg									30,051	51.96%	1.85%
3598	Asia-Pacific Economic Cooperation	/wiki/Asia-Pacific_Economic_Cooperation				Symbol b class.svg	Symbol c class.svg								30,045	54.27%	0.57%
3599	Sebastian Stan	/wiki/Sebastian_Stan					Symbol c class.svg			Symbol question.svg					30,044	63.65%	0.41%
3599	Stanley Tucci	/wiki/Stanley_Tucci					Symbol c class.svg								30,044	64.34%	0.48%
3601	Poppy (singer)	/wiki/Poppy_(singer)						Symbol start class.svg							30,041	66.10%	0.11%
3602	Helen Hunt	/wiki/Helen_Hunt						Symbol start class.svg							30,037	68.09%	0.26%
3603	Danny McBride	/wiki/Danny_McBride						Symbol start class.svg							30,035	69.86%	0.22%
3604	Vijay Sethupathi	/wiki/Vijay_Sethupathi					Symbol c class.svg								30,029	72.66%	1.26%
3605	Protein	/wiki/Protein		Symbol support vote.svg									Padlock-silver.svg		30,028	51.11%	1.52%
3606	Rheumatoid arthritis	/wiki/Rheumatoid_arthritis				Symbol b class.svg									30,023	70.64%	0.90%
3607	Mary of Teck	/wiki/Mary_of_Teck	Featured article star.svg												30,011	66.19%	0.24%
3608	Croatia national football team	/wiki/Croatia_national_football_team		Symbol support vote.svg											30,009	42.71%	0.80%
3608	IndiGo	/wiki/IndiGo		Symbol support vote.svg											30,009	64.16%	0.41%
3608	Quinoa	/wiki/Quinoa					Symbol c class.svg								30,009	63.00%	0.42%
3611	Blue Lips	/wiki/Blue_Lips							Symbol stub class.svg	Symbol question.svg					30,008	45.91%	0.34%
3612	Jamie Foxx	/wiki/Jamie_Foxx					Symbol c class.svg								30,007	63.41%	0.97%
3613	Kevin Lilliana	/wiki/Kevin_Lilliana						Symbol start class.svg		Symbol question.svg					30,003	66.44%	0.46%
3614	BoJack Horseman	/wiki/BoJack_Horseman						Symbol start class.svg							29,991	47.88%	0.18%
3615	Georgiana Cavendish, Duchess of Devonshire	/wiki/Georgiana_Cavendish,_Duchess_of_Devonshire					Symbol c class.svg								29,988	77.19%	0.05%
3616	Rottweiler	/wiki/Rottweiler				Symbol b class.svg	Symbol c class.svg							Padlock-olive.svg	29,978	77.50%	1.20%
3617	Young Thug	/wiki/Young_Thug					Symbol c class.svg								29,976	61.47%	1.80%
3618	Music download	/wiki/Music_download					Symbol c class.svg								29,971	77.42%	9.38%
3619	Natalie Alyn Lind	/wiki/Natalie_Alyn_Lind							Symbol stub class.svg						29,970	68.72%	0.40%
3620	Bryan Adams	/wiki/Bryan_Adams				Symbol b class.svg									29,966	65.41%	0.46%
3621	Sigourney Weaver	/wiki/Sigourney_Weaver					Symbol c class.svg								29,964	67.06%	0.26%
3622	Ram Charan	/wiki/Ram_Charan						Symbol start class.svg					Padlock-silver-light.svg		29,947	76.66%	2.78%
3623	United States presidential election, 2020	/wiki/United_States_presidential_election,_2020											Padlock-silver.svg		29,936	40.19%	0.15%
3624	Mel B	/wiki/Mel_B				Symbol b class.svg								Padlock-olive.svg	29,932	65.18%	0.84%
3625	Girls' Generation	/wiki/Girls%27_Generation		Symbol support vote.svg									Padlock-silver.svg		29,927	53.19%	0.80%
3626	Enterprise resource planning	/wiki/Enterprise_resource_planning						Symbol start class.svg		Symbol question.svg					29,922	31.50%	1.13%
3627	Helium	/wiki/Helium	Featured article star.svg										Padlock-silver.svg		29,920	30.85%	0.29%
3628	The Nutcracker	/wiki/The_Nutcracker				Symbol b class.svg	Symbol c class.svg								29,917	56.74%	0.15%
3629	Lily Collins	/wiki/Lily_Collins					Symbol c class.svg						Padlock-silver-light.svg		29,908	68.94%	0.55%
3630	Johann Sebastian Bach	/wiki/Johann_Sebastian_Bach				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg		29,897	40.36%	0.46%
3631	Claire Danes	/wiki/Claire_Danes					Symbol c class.svg								29,892	64.84%	0.49%
3632	Absentia (TV series)	/wiki/Absentia_(TV_series)													29,890	50.66%	2.60%
3633	Search	/wiki/Search													29,888	96.80%	0.05%
3634	Larry Fitzgerald	/wiki/Larry_Fitzgerald						Symbol start class.svg					Padlock-silver-light.svg		29,886	75.54%	0.07%
3635	Hemoglobin	/wiki/Hemoglobin				Symbol b class.svg									29,884	57.32%	1.31%
3636	Georgina Chapman	/wiki/Georgina_Chapman						Symbol start class.svg		Symbol question.svg					29,872	62.18%	0.25%
3637	Viggo Mortensen	/wiki/Viggo_Mortensen				Symbol b class.svg									29,864	60.96%	0.25%
3638	Huntington's disease	/wiki/Huntington%27s_disease	Featured article star.svg										Padlock-silver-light.svg		29,855	58.82%	0.40%
3639	Infinity Gems	/wiki/Infinity_Gems					Symbol c class.svg								29,852	69.67%	0.52%
3640	List of Running Man episodes (2017)	/wiki/List_of_Running_Man_episodes_(2017)													29,842	51.55%	0.24%
3641	Christina Ricci	/wiki/Christina_Ricci				Symbol b class.svg								Padlock-olive.svg	29,839	69.25%	0.33%
3642	The Brave (TV series)	/wiki/The_Brave_(TV_series)								Symbol question.svg					29,838	49.24%	2.15%
3643	Esperanto	/wiki/Esperanto				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg			29,834	50.81%	0.21%
3644	Johnny Manziel	/wiki/Johnny_Manziel					Symbol c class.svg								29,828	72.85%	0.05%
3645	Mount Rushmore	/wiki/Mount_Rushmore				Symbol b class.svg		Symbol start class.svg			Featured article star - cross.svg				29,826	64.25%	0.30%
3646	Cote de Pablo	/wiki/Cote_de_Pablo						Symbol start class.svg						Padlock-olive.svg	29,823	65.92%	0.15%
3647	Sam Rockwell	/wiki/Sam_Rockwell						Symbol start class.svg		Symbol question.svg					29,809	62.54%	0.24%
3648	2011 NBA draft	/wiki/2011_NBA_draft													29,800	60.02%	0.26%
3649	Character class (Dungeons & Dragons)	/wiki/Character_class_(Dungeons_%26_Dragons)						Symbol start class.svg							29,799	50.06%	0.04%
3650	The Departed	/wiki/The_Departed					Symbol c class.svg								29,795	59.66%	0.48%
3651	Pescetarianism	/wiki/Pescetarianism						Symbol start class.svg							29,794	73.32%	0.39%
3652	Elizabeth Hurley	/wiki/Elizabeth_Hurley				Symbol b class.svg									29,793	69.67%	0.30%
3653	Andhra Pradesh	/wiki/Andhra_Pradesh				Symbol b class.svg	Symbol c class.svg								29,792	68.36%	0.42%
3654	Sildenafil	/wiki/Sildenafil				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	29,791	44.47%	1.23%
3654	The Martian (film)	/wiki/The_Martian_(film)		Symbol support vote.svg											29,791	54.13%	0.38%
3656	Mexico national football team	/wiki/Mexico_national_football_team					Symbol c class.svg						Padlock-silver.svg		29,775	49.40%	0.52%
3657	Toyota	/wiki/Toyota					Symbol c class.svg								29,774	48.85%	1.85%
3658	Elementary (TV series)	/wiki/Elementary_(TV_series)					Symbol c class.svg								29,764	46.49%	0.36%
3659	Gavin Rossdale	/wiki/Gavin_Rossdale					Symbol c class.svg								29,761	67.33%	0.26%
3660	Scabies	/wiki/Scabies				Symbol b class.svg									29,760	74.83%	0.86%
3661	Futurama	/wiki/Futurama				Symbol b class.svg						Symbol unsupport vote.svg			29,759	56.37%	0.28%
3662	Passengers (2016 film)	/wiki/Passengers_(2016_film)					Symbol c class.svg								29,755	60.64%	0.71%
3663	Antonio Banderas	/wiki/Antonio_Banderas					Symbol c class.svg						Padlock-silver.svg		29,752	69.76%	1.03%
3663	Ben Foster	/wiki/Ben_Foster					Symbol c class.svg								29,752	67.62%	0.38%
3665	Elijah Wood	/wiki/Elijah_Wood				Symbol b class.svg	Symbol c class.svg							Padlock-olive.svg	29,749	62.94%	0.45%
3666	Wright brothers	/wiki/Wright_brothers		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	29,748	51.51%	0.92%
3667	Shannon Purser	/wiki/Shannon_Purser							Symbol stub class.svg						29,745	68.65%	0.17%
3668	Willow Smith	/wiki/Willow_Smith						Symbol start class.svg							29,743	71.41%	1.64%
3669	Heaven's Gate (religious group)	/wiki/Heaven%27s_Gate_(religious_group)					Symbol c class.svg								29,735	63.38%	0.15%
3670	Regression analysis	/wiki/Regression_analysis					Symbol c class.svg								29,734	28.69%	1.31%
3671	Lisa Ann	/wiki/Lisa_Ann					Symbol c class.svg								29,729	72.73%	2.13%
3672	Cell (biology)	/wiki/Cell_(biology)				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg	Padlock-olive.svg	29,719	59.96%	2.76%
3673	Moby-Dick	/wiki/Moby-Dick				Symbol b class.svg							Padlock-silver-light.svg		29,716	58.01%	0.31%
3674	Alicia Keys	/wiki/Alicia_Keys				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg			29,704	61.13%	1.77%
3675	Lynyrd Skynyrd	/wiki/Lynyrd_Skynyrd					Symbol c class.svg								29,698	54.97%	0.11%
3676	Lists of earthquakes	/wiki/Lists_of_earthquakes								Symbol question.svg					29,694	52.32%	1.57%
3677	Empire State Building	/wiki/Empire_State_Building				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg		29,685	57.70%	0.72%
3678	Michael B. Jordan	/wiki/Michael_B._Jordan						Symbol start class.svg							29,681	65.46%	0.56%
3679	List of moments of inertia	/wiki/List_of_moments_of_inertia													29,679	29.82%	0.26%
3680	Jill Biden	/wiki/Jill_Biden		Symbol support vote.svg											29,678	68.84%	0.08%
3681	Elle Fanning	/wiki/Elle_Fanning					Symbol c class.svg								29,669	68.71%	0.47%
3682	Milo Yiannopoulos	/wiki/Milo_Yiannopoulos					Symbol c class.svg			Symbol question.svg			Padlock-silver.svg		29,659	50.47%	0.14%
3683	Battle of the Alamo	/wiki/Battle_of_the_Alamo	Featured article star.svg										Padlock-silver.svg		29,657	63.11%	0.14%
3683	Jeepers Creepers (2001 film)	/wiki/Jeepers_Creepers_(2001_film)						Symbol start class.svg							29,657	62.95%	0.68%
3685	Mike Patton	/wiki/Mike_Patton				Symbol b class.svg							Padlock-silver-light.svg		29,652	60.09%	0.07%
3686	0	/wiki/0				Symbol b class.svg							Padlock-silver.svg	Padlock-olive.svg	29,650	26.69%	0.60%
3687	Black Dahlia	/wiki/Black_Dahlia					Symbol c class.svg						Padlock-silver.svg		29,647	67.52%	0.25%
3688	Tunisia	/wiki/Tunisia				Symbol b class.svg	Symbol c class.svg							Padlock-olive.svg	29,634	44.42%	1.07%
3689	List of current champions in WWE	/wiki/List_of_current_champions_in_WWE											Padlock-silver-light.svg		29,633	68.32%	2.56%
3690	Steven Tyler	/wiki/Steven_Tyler				Symbol b class.svg				Symbol question.svg			Padlock-silver-light.svg		29,614	63.76%	0.27%
3691	Clark Gable	/wiki/Clark_Gable				Symbol b class.svg									29,612	64.25%	0.25%
3692	SoftBank Group	/wiki/SoftBank_Group					Symbol c class.svg								29,608	43.30%	0.39%
3693	David Thewlis	/wiki/David_Thewlis					Symbol c class.svg								29,604	59.72%	0.30%
3694	Truffle	/wiki/Truffle				Symbol b class.svg									29,597	69.36%	0.52%
3695	Sandra Dickinson	/wiki/Sandra_Dickinson						Symbol start class.svg		Symbol question.svg					29,596	89.53%	0.00%
3695	Twin Peaks (2017 TV series)	/wiki/Twin_Peaks_(2017_TV_series)					Symbol c class.svg								29,596	47.31%	0.23%
3697	Katee Sackhoff	/wiki/Katee_Sackhoff					Symbol c class.svg	Symbol start class.svg							29,590	69.68%	0.25%
3697	What We Do in the Shadows	/wiki/What_We_Do_in_the_Shadows						Symbol start class.svg							29,590	49.26%	0.17%
3699	Jensen Ackles	/wiki/Jensen_Ackles						Symbol start class.svg					Padlock-silver.svg		29,575	75.82%	0.45%
3700	In Flanders Fields	/wiki/In_Flanders_Fields		Symbol support vote.svg											29,571	67.61%	0.18%
3701	Angkor Wat	/wiki/Angkor_Wat	Featured article star.svg											Padlock-olive.svg	29,563	59.05%	0.49%
3702	Jimmy Page	/wiki/Jimmy_Page				Symbol b class.svg							Padlock-silver.svg		29,562	53.26%	0.17%
3703	Jung Hae-in	/wiki/Jung_Hae-in								Symbol question.svg					29,557	67.34%	0.58%
3704	Hoxne Hoard	/wiki/Hoxne_Hoard	Featured article star.svg												29,551	7.60%	0.28%
3705	Lion (2016 film)	/wiki/Lion_(2016_film)					Symbol c class.svg								29,549	59.75%	0.49%
3706	Michelle Obama	/wiki/Michelle_Obama		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	29,548	59.08%	1.10%
3707	Paul Bettany	/wiki/Paul_Bettany					Symbol c class.svg								29,547	64.82%	0.43%
3708	Quantum computing	/wiki/Quantum_computing				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg				29,541	40.01%	0.41%
3709	Despicable Me 3	/wiki/Despicable_Me_3						Symbol start class.svg							29,537	53.22%	1.14%
3710	Greek mythology	/wiki/Greek_mythology	Featured article star.svg										Padlock-silver.svg		29,535	52.14%	0.84%
3711	List of The Mindy Project episodes	/wiki/List_of_The_Mindy_Project_episodes													29,534	52.57%	0.27%
3712	Game theory	/wiki/Game_theory					Symbol c class.svg				Featured article star - cross.svg				29,532	40.89%	1.01%
3713	George Jung	/wiki/George_Jung					Symbol c class.svg	Symbol start class.svg		Symbol question.svg					29,531	82.45%	0.20%
3714	Neanderthal	/wiki/Neanderthal				Symbol b class.svg									29,524	48.94%	0.44%
3715	Tommy Lee Jones	/wiki/Tommy_Lee_Jones						Symbol start class.svg							29,518	70.26%	0.39%
3716	Greenhouse gas	/wiki/Greenhouse_gas				Symbol b class.svg							Padlock-silver-light.svg	Padlock-olive.svg	29,515	46.92%	1.77%
3717	Chris Farley	/wiki/Chris_Farley				Symbol b class.svg									29,500	73.50%	0.65%
3718	Los Angeles Lakers	/wiki/Los_Angeles_Lakers		Symbol support vote.svg									Padlock-silver.svg		29,498	63.44%	0.34%
3719	Bates Motel (TV series)	/wiki/Bates_Motel_(TV_series)					Symbol c class.svg								29,496	61.23%	0.39%
3720	Sean Bean	/wiki/Sean_Bean		Symbol support vote.svg									Padlock-silver-light.svg		29,495	64.67%	0.51%
3721	List of British monarchs	/wiki/List_of_British_monarchs								Symbol question.svg					29,494	61.69%	0.31%
3722	Uganda	/wiki/Uganda					Symbol c class.svg							Padlock-olive.svg	29,493	46.55%	1.90%
3723	Attention deficit hyperactivity disorder	/wiki/Attention_deficit_hyperactivity_disorder		Symbol support vote.svg											29,486	60.30%	0.83%
3724	Agriculture	/wiki/Agriculture				Symbol b class.svg	Symbol c class.svg			Symbol question.svg			Padlock-silver-light.svg		29,482	54.47%	2.51%
3725	Luke Wilson	/wiki/Luke_Wilson						Symbol start class.svg							29,481	75.88%	0.28%
3726	Ed and Lorraine Warren	/wiki/Ed_and_Lorraine_Warren						Symbol start class.svg							29,472	76.25%	0.45%
3727	Death of Adolf Hitler	/wiki/Death_of_Adolf_Hitler		Symbol support vote.svg									Padlock-silver.svg		29,471	63.92%	1.22%
3727	Protestantism	/wiki/Protestantism				Symbol b class.svg	Symbol c class.svg								29,471	55.55%	0.71%
3729	Virginia	/wiki/Virginia	Featured article star.svg										Padlock-silver.svg		29,464	42.63%	0.71%
3730	List of serial killers in the United States	/wiki/List_of_serial_killers_in_the_United_States													29,459	52.87%	0.27%
3731	Torque	/wiki/Torque				Symbol b class.svg									29,454	38.40%	0.86%
3732	Skid Row, Los Angeles	/wiki/Skid_Row,_Los_Angeles						Symbol start class.svg							29,453	63.33%	0.10%
3733	KFC	/wiki/KFC		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	29,448	60.00%	1.80%
3734	Venus Williams	/wiki/Venus_Williams				Symbol b class.svg	Symbol c class.svg								29,446	68.30%	1.29%
3735	George S. Patton	/wiki/George_S._Patton	Featured article star.svg												29,437	58.87%	0.20%
3736	Pole of inaccessibility	/wiki/Pole_of_inaccessibility						Symbol start class.svg							29,424	58.47%	0.07%
3737	Katey Sagal	/wiki/Katey_Sagal						Symbol start class.svg							29,423	73.97%	0.14%
3738	Ages of consent in the United States	/wiki/Ages_of_consent_in_the_United_States				Symbol b class.svg									29,422	56.43%	0.11%
3739	Joely Fisher	/wiki/Joely_Fisher						Symbol start class.svg							29,402	69.36%	0.08%
3740	Yolandi Visser	/wiki/Yolandi_Visser						Symbol start class.svg		Symbol question.svg					29,400	66.36%	0.17%
3741	Immanuel Kant	/wiki/Immanuel_Kant				Symbol b class.svg	Symbol c class.svg						Padlock-silver.svg		29,399	41.92%	0.69%
3742	John Cleese	/wiki/John_Cleese				Symbol b class.svg							Padlock-silver.svg		29,398	58.85%	0.28%
3743	The Book of Mormon (musical)	/wiki/The_Book_of_Mormon_(musical)					Symbol c class.svg								29,391	62.83%	0.07%
3744	Westminster Abbey	/wiki/Westminster_Abbey					Symbol c class.svg								29,386	41.84%	0.36%
3745	Climate change	/wiki/Climate_change				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver.svg		29,383	48.20%	2.20%
3746	Kris Kristofferson	/wiki/Kris_Kristofferson					Symbol c class.svg								29,378	68.72%	0.21%
3747	Bronchitis	/wiki/Bronchitis				Symbol b class.svg				Symbol question.svg					29,377	76.40%	0.75%
3748	Herpes simplex	/wiki/Herpes_simplex		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	29,371	70.90%	1.04%
3749	Keith Urban	/wiki/Keith_Urban					Symbol c class.svg			Symbol question.svg					29,360	66.37%	0.34%
3750	Spider	/wiki/Spider		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	29,355	73.21%	0.98%
3751	Jazz Jennings	/wiki/Jazz_Jennings						Symbol start class.svg							29,343	68.60%	0.13%
3752	19 Kids and Counting	/wiki/19_Kids_and_Counting				Symbol b class.svg									29,342	73.91%	0.07%
3752	Ross 128	/wiki/Ross_128				Symbol b class.svg									29,342	32.13%	0.22%
3754	Sully (film)	/wiki/Sully_(film)				Symbol b class.svg		Symbol start class.svg							29,338	69.38%	0.68%
3755	Bono	/wiki/Bono				Symbol b class.svg							Padlock-silver.svg		29,328	62.12%	0.44%
3756	Chris Jericho	/wiki/Chris_Jericho				Symbol b class.svg									29,322	59.33%	0.72%
3757	Debbie Reynolds	/wiki/Debbie_Reynolds					Symbol c class.svg								29,320	69.84%	0.13%
3757	German Empire	/wiki/German_Empire					Symbol c class.svg								29,320	45.08%	0.44%
3759	Demography of the United States	/wiki/Demography_of_the_United_States				Symbol b class.svg									29,311	44.12%	0.36%
3760	Faroe Islands	/wiki/Faroe_Islands				Symbol b class.svg	Symbol c class.svg							Padlock-olive.svg	29,310	47.96%	0.28%
3761	Cape Verde	/wiki/Cape_Verde					Symbol c class.svg			Symbol question.svg				Padlock-olive.svg	29,308	47.37%	0.92%
3762	Milky Way	/wiki/Milky_Way		Symbol support vote.svg									Padlock-silver.svg		29,304	47.86%	0.97%
3763	[[Michael Bubl��]]													29,288	60.28%	0.34%
3764	A. R. Rahman	/wiki/A._R._Rahman				Symbol b class.svg							Padlock-silver.svg		29,285	67.85%	1.14%
3764	Colin Firth	/wiki/Colin_Firth					Symbol c class.svg								29,285	60.84%	0.52%
3766	Rani of Jhansi	/wiki/Rani_of_Jhansi					Symbol c class.svg								29,274	69.30%	0.22%
3767	Venice	/wiki/Venice					Symbol c class.svg								29,273	48.86%	0.66%
3768	Albert Fish	/wiki/Albert_Fish				Symbol b class.svg						Symbol unsupport vote.svg	Padlock-silver.svg		29,272	64.94%	0.20%
3769	Steve Bannon	/wiki/Steve_Bannon				Symbol b class.svg							Padlock-silver.svg		29,268	56.21%	0.12%
3770	Moonlight (2016 film)	/wiki/Moonlight_(2016_film)				Symbol b class.svg	Symbol c class.svg								29,267	50.26%	0.59%
3771	Nitrogen	/wiki/Nitrogen		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	29,266	32.83%	0.66%
3772	Juventus F.C.	/wiki/Juventus_F.C.		Symbol support vote.svg									Padlock-silver.svg	Padlock-olive.svg	29,264	51.42%	1.21%
3773	The Doors	/wiki/The_Doors					Symbol c class.svg								29,259	56.84%	0.09%
3774	Ben Affleck filmography	/wiki/Ben_Affleck_filmography	Featured article star.svg												29,258	56.19%	0.64%
3775	Opioid	/wiki/Opioid				Symbol b class.svg									29,256	61.81%	0.81%
3776	Monkey selfie copyright dispute	/wiki/Monkey_selfie_copyright_dispute					Symbol c class.svg								29,253	65.46%	0.13%
3777	Kristen Wiig	/wiki/Kristen_Wiig					Symbol c class.svg								29,239	61.86%	0.41%
3778	Roman Kemp	/wiki/Roman_Kemp								Symbol question.svg					29,233	88.86%	0.01%
3779	Kathryn Hahn	/wiki/Kathryn_Hahn						Symbol start class.svg							29,225	69.68%	0.20%
3780	Julianne Hough	/wiki/Julianne_Hough					Symbol c class.svg								29,209	73.54%	0.34%
3780	Rich Chigga	/wiki/Rich_Chigga						Symbol start class.svg							29,209	51.38%	0.20%
3782	Irrumatio	/wiki/Irrumatio						Symbol start class.svg							29,204	72.55%	0.28%
3783	Dawood Ibrahim	/wiki/Dawood_Ibrahim					Symbol c class.svg			Symbol question.svg					29,201	72.86%	1.16%
3783	Michael Rapaport	/wiki/Michael_Rapaport						Symbol start class.svg							29,201	65.80%	0.31%
3785	Neoliberalism	/wiki/Neoliberalism					Symbol c class.svg								29,199	39.66%	0.39%
3786	H. P. Lovecraft	/wiki/H._P._Lovecraft					Symbol c class.svg				Featured article star - cross.svg				29,196	48.25%	0.18%
3787	Ronan Farrow	/wiki/Ronan_Farrow					Symbol c class.svg			Symbol question.svg					29,194	58.70%	0.12%
3788	Laado 2 (TV series)	/wiki/Laado_2_(TV_series)							Symbol stub class.svg						29,187	84.89%	0.96%
3789	Rage Against the Machine	/wiki/Rage_Against_the_Machine		Symbol support vote.svg											29,183	55.52%	0.15%
3790	Ayrton Senna	/wiki/Ayrton_Senna				Symbol b class.svg								Padlock-olive.svg	29,181	61.78%	1.93%
3791	Jacqueline Fernandez	/wiki/Jacqueline_Fernandez		Symbol support vote.svg											29,173	74.96%	3.23%
3792	[[Malin ��kerman]]													29,172	59.71%	0.32%
3793	Lolita	/wiki/Lolita				Symbol b class.svg								Padlock-olive.svg	29,170	57.03%	0.38%
3794	Melbourne	/wiki/Melbourne				Symbol b class.svg						Symbol unsupport vote.svg		Padlock-olive.svg	29,167	52.22%	0.42%
3795	John Wycliffe	/wiki/John_Wycliffe					Symbol c class.svg								29,162	79.38%	0.95%
3796	Sting (musician)	/wiki/Sting_(musician)				Symbol b class.svg									29,160	56.66%	0.28%
3797	Elizabeth of York	/wiki/Elizabeth_of_York					Symbol c class.svg								29,156	75.71%	0.14%
3798	[[Kylian Mbapp��]]													29,147	64.94%	2.72%
3799	Chris Martin	/wiki/Chris_Martin					Symbol c class.svg							Padlock-olive.svg	29,142	62.16%	0.60%
3799	John Candy	/wiki/John_Candy				Symbol b class.svg									29,142	73.40%	0.11%
3799	Markelle Fultz	/wiki/Markelle_Fultz						Symbol start class.svg					Padlock-silver.svg		29,142	60.22%	0.26%
3799	Stars (restaurant)	/wiki/Stars_(restaurant)						Symbol start class.svg							29,142	79.78%	0.00%
3803	Language	/wiki/Language		Symbol support vote.svg									Padlock-silver.svg		29,141	45.43%	2.02%
3803	Smartphone	/wiki/Smartphone					Symbol c class.svg								29,141	45.88%	1.87%
3805	The Disaster Artist	/wiki/The_Disaster_Artist						Symbol start class.svg							29,139	45.61%	0.04%
3806	Ibn Saud	/wiki/Ibn_Saud					Symbol c class.svg						Padlock-blue.svg		29,131	49.90%	1.93%
3807	Gary Goddard	/wiki/Gary_Goddard						Symbol start class.svg							29,126	65.32%	0.08%
3808	Sydney	/wiki/Sydney				Symbol b class.svg	Symbol c class.svg					Symbol unsupport vote.svg	Padlock-silver-light.svg		29,124	39.75%	0.54%
3809	Sikhism	/wiki/Sikhism				Symbol b class.svg	Symbol c class.svg				Featured article star - cross.svg				29,123	60.96%	0.38%
3810	[[2017���18 UEFA Champions League]]													29,119	40.04%	1.80%
3811	ASAP Yams	/wiki/ASAP_Yams											Padlock-silver.svg		29,117	74.24%	0.31%
3812	Ian Somerhalder	/wiki/Ian_Somerhalder					Symbol c class.svg						Padlock-silver.svg		29,114	78.57%	0.79%
3812	Rob Kardashian	/wiki/Rob_Kardashian						Symbol start class.svg					Padlock-silver.svg		29,114	75.32%	2.18%
3814	Kelvin Gastelum	/wiki/Kelvin_Gastelum						Symbol start class.svg							29,112	54.06%	0.17%
3815	Endocrine system	/wiki/Endocrine_system					Symbol c class.svg	Symbol start class.svg		Symbol question.svg					29,104	56.49%	1.41%
3816	Jughead Jones	/wiki/Jughead_Jones						Symbol start class.svg							29,102	69.68%	0.14%
3817	Vanessa Redgrave	/wiki/Vanessa_Redgrave					Symbol c class.svg								29,100	63.71%	0.25%
3818	Felicity Jones	/wiki/Felicity_Jones					Symbol c class.svg								29,096	60.17%	0.48%
3819	Marfan syndrome	/wiki/Marfan_syndrome				Symbol b class.svg	Symbol c class.svg						Padlock-silver-light.svg		29,095	62.48%	0.67%
