Article_Name,1,2,3,4,5,6,7
Eastern Orthodox Church - Wikipedia.txt,2800,5269,5880,3896,3085,3148,11077
Plane (geometry) - Wikipedia.txt,2452,1071,441,266,271,246,735
Moon - Wikipedia.txt,1900,2674,2795,2724,2310,1677,5828
Cooking - Wikipedia.txt,1009,724,652,855,603,597,2399
Antibiotics - Wikipedia.txt,1666,1523,1309,1129,762,786,4921
Fire - Wikipedia.txt,506,687,661,647,490,394,1501
Cold War - Wikipedia.txt,1945,2785,3828,2829,2188,2651,7996
Grand Canyon - Wikipedia.txt,1041,1283,1661,1332,1354,1207,3366
Ancient Greek philosophy - Wikipedia.txt,705,769,823,655,570,466,2117
Pop music - Wikipedia.txt,620,436,597,527,535,367,1323
Artificial intelligence - Wikipedia.txt,3262,2949,2628,2904,2093,2119,10483
Malaria - Wikipedia.txt,1393,2242,1908,1564,1269,1212,5857
Augustus - Wikipedia.txt,2955,3202,3509,2364,1949,2058,6654
Steam engine - Wikipedia.txt,958,1511,1637,1250,1475,1018,3456
Cell (biology) - Wikipedia.txt,559,782,833,755,585,411,2054
Industrial Revolution - Wikipedia.txt,1106,3219,4014,2991,2602,2110,7790
Aircraft - Wikipedia.txt,808,1030,1089,919,720,595,2523
Rembrandt - Wikipedia.txt,1233,1456,1787,1267,1113,827,3233
Ernest Hemingway - Wikipedia.txt,990,2050,2391,2234,1817,1414,3780
Laozi - Wikipedia.txt,643,645,725,550,509,458,1528
Great Wall of China - Wikipedia.txt,596,935,1118,1123,908,531,1758
Afterlife - Wikipedia.txt,1878,2414,2506,2098,1904,1435,5035
Colosseum - Wikipedia.txt,718,1271,1507,1049,958,704,2508
Angkor Wat - Wikipedia.txt,1296,1067,1314,1036,921,1033,2706
Confucius - Wikipedia.txt,940,1541,1571,1297,939,814,3365
Dentistry - Wikipedia.txt,674,690,679,571,485,523,2047
Asia - Wikipedia.txt,1930,1463,1556,1512,1423,1204,4126
Agriculture - Wikipedia.txt,1016,1851,1854,1542,1185,1189,4800
Sikhism - Wikipedia.txt,1526,2193,2662,2500,2379,1744,5863
